date,ticker,headlines,avg_sentiment
2026-09-23,ACES,5,0.8
2026-09-23,ADRO,5,0.4
2026-09-23,AKRA,3,0.0
2026-09-23,ANTM,4,0.0
2026-09-23,ASII,11,0.455
2026-09-23,BBCA,9,0.667
2026-09-23,BBNI,5,-0.2
2026-09-23,BBRI,9,0.222
2026-09-23,BMRI,6,0.333
2026-09-23,BRIS,1,0.0
2026-09-23,CPIN,1,1.0
2026-09-23,ICBP,1,0.0
2026-09-23,INCO,1,1.0
2026-09-23,INDF,1,0.0
2026-09-23,ISAT,1,0.0
2026-09-23,JPFA,2,0.0
2026-09-23,MARKET,121,0.017
2026-09-23,MEDC,4,0.5
2026-09-23,SMGR,1,0.0
2026-09-23,TLKM,1,0.0
2026-09-23,UNTR,9,0.444
2026-09-25,AMRT,3,1.0
2026-09-25,ANTM,1,-1.0
2026-09-25,ASII,8,0.375
2026-09-25,BBCA,4,0.25
2026-09-25,BBNI,1,-1.0
2026-09-25,BBRI,5,0.0
2026-09-25,BMRI,4,0.0
2026-09-25,CPIN,4,-0.25
2026-09-25,ICBP,4,-0.833
2026-09-25,INCO,3,-0.667
2026-09-25,INDF,1,-1.0
2026-09-25,ISAT,1,-1.0
2026-09-25,JPFA,1,0.0
2026-09-25,MAPI,1,-1.0
2026-09-25,MARKET,128,-0.188
2026-09-25,MEDC,5,-0.6
2026-09-25,PTBA,1,0.0
2026-09-25,TLKM,2,-0.5
2026-09-25,UNTR,3,0.667
2026-09-25,UNVR,1,0.0
